code,name,"c(to_fix, ""missing"")"
3,Alicante/Alacant,A Coruna
4,Almería,Alava
1,Araba/Álava,Alicante / Alacant
7,"Balears,Illes",Almeria
48,Bizkaia,Avila
12,Castellón/Castelló,Balears
13,CiudadReal,Caceres
15,"Coruña,A",Cadiz
10,Cáceres,Canarias
11,Cádiz,Castellon / Castello
14,Córdoba,Ciudad Real
20,Gipuzkoa,Cordoba
23,Jaén,Guipuzcoa
24,León,Jaen
29,Málaga,La Rioja
35,"Palmas,Las",Leon
26,"Rioja,La",Malaga
38,SantaCruzdeTenerife,Valencia / Valencia
46,Valencia/València,Vizcaya
5,Ávila,missing
