country,year,nuts2,regionname,sum_farright,sum_eurosceptic,sum_populist,gdp_regional,econ_act_rate,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,MMEDAGEPOP,higher_education_perc,lag_4_gdp_regional,lag_4_econ_act_rate
Austria,2004,AT11,Burgenland,0.0373353199498118,0.0373353199498118,0.0373353199498118,18900,60.1,4.4,8.6,40.5,12.6,NA,NA
Austria,2009,AT11,Burgenland,0.13521247204315223,0.13521247204315223,0.13521247204315223,20400,65.1,NA,10.4,42.7,15.1,1.068062827225131,1.0284360189573458
Austria,2014,AT11,Burgenland,0.1708395402005847,0.1708395402005847,0.1708395402005847,24100,64,2.3,10.1,44.8,25.7,1.1367924528301887,0.9876543209876544
Austria,2019,AT11,Burgenland,0.1715262222908782,0.1715262222908782,0.1715262222908782,27800,64.2,2.8,10.6,46.6,30.7,1.112,1.0015600624024963
Austria,2004,AT12,Niederösterreich,0.03931032766899708,0.03931032766899708,0.03931032766899708,22600,62.7,3.4,11.2,39.1,17.3,1.13,0.9858490566037736
Austria,2009,AT12,Niederösterreich,0.15271316442408628,0.15271316442408628,0.15271316442408628,25200,66,3.8,12,41.2,17.6,1.0909090909090908,1.0344827586206897
Austria,2014,AT12,Niederösterreich,0.1822585511074175,0.1822585511074175,0.1822585511074175,28600,67.2,4.2,12.9,43.3,29.1,1.1042471042471043,1.0181818181818183
Austria,2019,AT12,Niederösterreich,0.17463710844702174,0.17463710844702174,0.17463710844702174,33000,68.4,3.2,12.6,44.2,32.4,1.11864406779661,1.0088495575221241
Austria,2004,AT13,Wien,0.05427336084183925,0.05427336084183925,0.05427336084183925,37100,62.8,6.2,12.9,38.3,24.2,1.0911764705882352,0.9515151515151514
Austria,2009,AT13,Wien,0.1767693483454389,0.1767693483454389,0.1767693483454389,40500,63.8,6.6,18,39.2,26,1.062992125984252,1.0175438596491226
Austria,2014,AT13,Wien,0.17875195714546857,0.17875195714546857,0.17875195714546857,42700,63.8,7.5,19.6,38.9,39.1,1.0314009661835748,0.9984350547730829
Austria,2019,AT13,Wien,0.14272284168666297,0.14272284168666297,0.14272284168666297,46400,66.7,6.6,20.1,38.3,42.9,1.071593533487298,1.034108527131783
Austria,2004,AT21,Kärnten,0.18917531133816912,0.18917531133816912,0.18917531133816912,23100,58.9,4,10.3,39,16.7,1.1435643564356435,0.9915824915824916
Austria,2009,AT21,Kärnten,0.27754595464913456,0.27754595464913456,0.27754595464913456,25900,63.1,3.5,11.4,41.5,17.2,1.0702479338842976,1.0344262295081967
Austria,2014,AT21,Kärnten,0.20957190735600678,0.20957190735600678,0.20957190735600678,29700,64,3.2,12.2,43.9,28.8,1.1123595505617978,1.0158730158730158
