country,year,nuts2016,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist
Austria,1990,AT111,3,Mittelburgenland,Parliament,0.07796509247888057,0.07796509247888057,0.07796509247888057
Austria,1990,AT112,3,Nordburgenland,Parliament,0.11793584128092241,0.11793584128092241,0.11793584128092241
Austria,1990,AT113,3,Sudburgenland,Parliament,0.1048614994030798,0.1048614994030798,0.1048614994030798
Austria,1990,AT121,3,Mostviertel-Eisenwurzen,Parliament,0.10270494140651522,0.10270494140651522,0.10270494140651522
Austria,1990,AT122,3,Niederosterreich-Sud,Parliament,0.1181829469928178,0.1181829469928178,0.1181829469928178
Austria,1990,AT123,3,Sankt Polten,Parliament,0.12752465128163437,0.12752465128163437,0.12752465128163437
Austria,1990,AT124,3,Waldviertel,Parliament,0.1015953541152126,0.1015953541152126,0.1015953541152126
Austria,1990,AT125,3,Weinviertel,Parliament,0.09883615751070374,0.09883615751070374,0.09883615751070374
Austria,1990,AT126,3,Wiener Umland/Nordteil,Parliament,0.13223810841954153,0.13223810841954153,0.13223810841954153
Austria,1990,AT127,3,Wiener Umland/Sudteil,Parliament,0.1422244454747322,0.1422244454747322,0.1422244454747322
Austria,1990,AT130,3,Wien,Parliament,0.15363349638719595,0.15363349638719595,0.15363349638719595
Austria,1990,AT211,3,Klagenfurt-Villach,Parliament,0.3033036818285495,0.3033036818285495,0.3033036818285495
Austria,1990,AT212,3,Oberkarnten,Parliament,0.3060706907003501,0.3060706907003501,0.3060706907003501
Austria,1990,AT213,3,Unterkarnten,Parliament,0.2752919615527091,0.2752919615527091,0.2752919615527091
Austria,1990,AT221,3,Graz,Parliament,0.1774837010491775,0.1774837010491775,0.1774837010491775
Austria,1990,AT222,3,Liezen,Parliament,0.1772328920380384,0.1772328920380384,0.1772328920380384
Austria,1990,AT223,3,Ostliche Obersteiermark,Parliament,0.1492422026742259,0.1492422026742259,0.1492422026742259
Austria,1990,AT224,3,Oststeiermark,Parliament,0.1541051714606403,0.1541051714606403,0.1541051714606403
Austria,1990,AT225,3,West-und Sudsteiermark,Parliament,0.1503118937010613,0.1503118937010613,0.1503118937010613
Austria,1990,AT226,3,Westliche Obersteiermark,Parliament,0.16212194389693116,0.16212194389693116,0.16212194389693116
Austria,1990,AT311,3,Innviertel,Parliament,0.1858940447400242,0.1858940447400242,0.1858940447400242
Austria,1990,AT312,3,Linz-Wels,Parliament,0.15988429514113248,0.15988429514113248,0.15988429514113248
Austria,1990,AT313,3,Muhlviertel,Parliament,0.09288861131272894,0.09288861131272894,0.09288861131272894
Austria,1990,AT314,3,Steyr-Kirchdorf,Parliament,0.15123654606935266,0.15123654606935266,0.15123654606935266
Austria,1990,AT315,3,Traunviertel,Parliament,0.16896879670304787,0.16896879670304787,0.16896879670304787
Austria,1990,AT321,3,Lungau,Parliament,0.20251889168765744,0.20251889168765744,0.20251889168765744
Austria,1990,AT322,3,Pinzgau-Pongau,Parliament,0.17167778712712878,0.17167778712712878,0.17167778712712878
Austria,1990,AT323,3,Salzburg und Umgebung,Parliament,0.21423645650887033,0.21423645650887033,0.21423645650887033
Austria,1990,AT331,3,Ausserfern,Parliament,0.15504576788337665,0.15504576788337665,0.15504576788337665
Austria,1990,AT332,3,Innsbruck,Parliament,0.16693451828327388,0.16693451828327388,0.16693451828327388
Austria,1990,AT333,3,Osttirol,Parliament,0.16676054471356153,0.16676054471356153,0.16676054471356153
Austria,1990,AT334,3,Tiroler Oberland,Parliament,0.11475378751967234,0.11475378751967234,0.11475378751967234
Austria,1990,AT335,3,Tiroler Unterland,Parliament,0.17917711833656744,0.17917711833656744,0.17917711833656744
Austria,1990,AT341,3,Bludenz-Bregenzer Wald,Parliament,0.14556896729598678,0.14556896729598678,0.14556896729598678
Austria,1990,AT342,3,Rheintal-Bodenseegebiet,Parliament,0.17209615180373136,0.17209615180373136,0.17209615180373136
Austria,1990,ATZZZ,3,Abroad votes,Parliament,0.1722799739660951,0.1722799739660951,0.1722799739660951
