country,country_code,nutslevel,nuts2,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote,populist,farright,eurosceptic,vote_perc
Austria,AT,2,AT11,Burgenland,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,4761,220205,127520,123880,1,1,1,0.0373353199498118
Austria,AT,2,AT11,Burgenland,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,7232,220205,127520,123880,0,0,0,0.05671267252195734
Austria,AT,2,AT11,Burgenland,EP,2004,LDM,NA,NA,NA,14965,220205,127520,123880,0,0,0,0.11735414052697617
Austria,AT,2,AT11,Burgenland,EP,2004,OTHER,NA,NA,NA,462,220205,127520,123880,0,0,0,0.00362296110414052
Austria,AT,2,AT11,Burgenland,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,42354,220205,127520,123880,0,0,0,0.33213613550815557
Austria,AT,2,AT11,Burgenland,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,54106,220205,127520,123880,0,0,0,0.42429422835633623
Austria,AT,2,AT11,Burgenland,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,2693,231698,121616,118067,1,1,1,0.02214346796474148
Austria,AT,2,AT11,Burgenland,EP,2009,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,13751,231698,121616,118067,1,1,1,0.11306900407841074
Austria,AT,2,AT11,Burgenland,EP,2009,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,5185,231698,121616,118067,0,0,0,0.04263419286935929
Austria,AT,2,AT11,Burgenland,EP,2009,LDM,NA,NA,NA,19044,231698,121616,118067,0,0,0,0.15659123799500066
Austria,AT,2,AT11,Burgenland,EP,2009,OTHER,NA,NA,NA,849,231698,121616,118067,0,0,0,0.00698098934350743
Austria,AT,2,AT11,Burgenland,EP,2009,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,36402,231698,121616,118067,0,0,0,0.29931916853045654
Austria,AT,2,AT11,Burgenland,EP,2009,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,40143,231698,121616,118067,0,0,0,0.33007992369425077
Austria,AT,2,AT11,Burgenland,EP,2014,ANDERS,NA,NA,NA,1393,233920,125533,120344,0,0,0,0.01109668374053037
Austria,AT,2,AT11,Burgenland,EP,2014,EUSTOP,NA,NA,NA,2976,233920,125533,120344,0,0,0,0.02370691371989835
Austria,AT,2,AT11,Burgenland,EP,2014,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,21446,233920,125533,120344,1,1,1,0.1708395402005847
Austria,AT,2,AT11,Burgenland,EP,2014,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,9686,233920,125533,120344,0,0,0,0.07715899404937347
Austria,AT,2,AT11,Burgenland,EP,2014,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,5955,233920,125533,120344,0,0,0,0.04743772553830467
Austria,AT,2,AT11,Burgenland,EP,2014,OTHER,NA,NA,NA,280,233920,125533,120344,0,0,0,0.00223048919407645
Austria,AT,2,AT11,Burgenland,EP,2014,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,37331,233920,125533,120344,0,0,0,0.2973799718002438
Austria,AT,2,AT11,Burgenland,EP,2014,REKOS,THE REFORM CONSERVATIVES,DIE REFORMKONSERVATIVEN,2991,916,233920,125533,120344,0,0,0,0.00729688607776441
Austria,AT,2,AT11,Burgenland,EP,2014,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,40361,233920,125533,120344,0,0,0,0.32151705129328545
