"","code","date","Euro_super_95","Diesel","country_name","country_name_pl"
"1","AT",2023-01-16,1.567,1.74,"Austria","Austria"
"2","AT",2023-01-09,1.57,1.743,"Austria","Austria"
"3","AT",2023-01-02,1.492,1.685,"Austria","Austria"
"4","AT",2022-12-26,1.454,1.654,"Austria","Austria"
"5","AT",2022-12-19,1.468,1.666,"Austria","Austria"
"6","AT",2022-12-12,1.502,1.69,"Austria","Austria"
"7","AT",2022-12-05,1.547,1.735,"Austria","Austria"
"8","AT",2022-11-28,1.597,1.787,"Austria","Austria"
"9","AT",2022-11-21,1.666,1.852,"Austria","Austria"
"10","AT",2022-11-14,1.715,1.937,"Austria","Austria"
"11","AT",2022-11-07,1.736,2.022,"Austria","Austria"
"12","AT",2022-10-31,1.753,2.042,"Austria","Austria"
"13","AT",2022-10-24,1.764,2.045,"Austria","Austria"
"14","AT",2022-10-17,1.786,2.048,"Austria","Austria"
"15","AT",2022-10-10,1.76,2.007,"Austria","Austria"
"16","AT",2022-10-03,1.724,1.955,"Austria","Austria"
"17","AT",2022-09-26,1.679,1.917,"Austria","Austria"
"18","AT",2022-09-19,1.705,1.933,"Austria","Austria"
"19","AT",2022-09-12,1.751,1.958,"Austria","Austria"
"20","AT",2022-09-05,1.744,1.9,"Austria","Austria"
"21","AT",2022-08-29,1.758,1.865,"Austria","Austria"
"22","AT",2022-08-22,1.765,1.799,"Austria","Austria"
"23","AT",2022-08-15,1.761,1.77,"Austria","Austria"
"24","AT",2022-08-08,1.86,1.866,"Austria","Austria"
"25","AT",2022-08-01,1.964,1.976,"Austria","Austria"
"26","AT",2022-07-25,1.996,2.01,"Austria","Austria"
"27","AT",2022-07-18,2.04,2.036,"Austria","Austria"
"28","AT",2022-07-11,2.1,2.092,"Austria","Austria"
"29","AT",2022-07-04,2.086,2.072,"Austria","Austria"
"30","AT",2022-06-27,2.102,2.079,"Austria","Austria"
"31","AT",2022-06-20,2.089,2.069,"Austria","Austria"
"32","AT",2022-06-13,2.048,2.023,"Austria","Austria"
"33","AT",2022-06-06,1.988,1.923,"Austria","Austria"
"34","AT",2022-05-30,1.826,1.826,"Austria","Austria"
"35","AT",2022-05-23,1.808,1.839,"Austria","Austria"
"36","AT",2022-05-16,1.774,1.858,"Austria","Austria"
"37","AT",2022-05-09,1.755,1.875,"Austria","Austria"
"38","AT",2022-05-02,1.732,1.859,"Austria","Austria"
"39","AT",2022-04-25,1.719,1.832,"Austria","Austria"
"40","AT",2022-04-11,1.689,1.797,"Austria","Austria"
"41","AT",2022-04-04,1.716,1.843,"Austria","Austria"
"42","AT",2022-03-28,1.756,1.898,"Austria","Austria"
"43","AT",2022-03-21,1.738,1.828,"Austria","Austria"
"44","AT",2022-03-14,1.987,2.023,"Austria","Austria"
"45","AT",2022-03-07,1.691,1.719,"Austria","Austria"
"46","AT",2022-02-28,1.528,1.52,"Austria","Austria"
"47","AT",2022-02-21,1.478,1.464,"Austria","Austria"
"48","AT",2022-02-14,1.47,1.457,"Austria","Austria"
"49","AT",2022-02-07,1.453,1.441,"Austria","Austria"
"50","AT",2022-01-31,1.439,1.43,"Austria","Austria"
"51","AT",2022-01-24,1.427,1.418,"Austria","Austria"
"52","AT",2022-01-17,1.418,1.408,"Austria","Austria"
"53","AT",2022-01-10,1.406,1.395,"Austria","Austria"
"54","AT",2022-01-03,1.395,1.38,"Austria","Austria"
"55","AT",2021-12-20,1.398,1.389,"Austria","Austria"
"56","AT",2021-12-13,1.397,1.388,"Austria","Austria"
"57","AT",2021-12-06,1.405,1.392,"Austria","Austria"
"58","AT",2021-11-29,1.426,1.407,"Austria","Austria"
"59","AT",2021-11-22,1.425,1.406,"Austria","Austria"
"60","AT",2021-11-15,1.438,1.418,"Austria","Austria"
"61","AT",2021-11-08,1.427,1.411,"Austria","Austria"
"62","AT",2021-11-01,1.41,1.402,"Austria","Austria"
"63","AT",2021-10-25,1.404,1.398,"Austria","Austria"
"64","AT",2021-10-18,1.398,1.38,"Austria","Austria"
"65","AT",2021-10-11,1.382,1.353,"Austria","Austria"
"66","AT",2021-10-04,1.342,1.307,"Austria","Austria"
"67","AT",2021-09-27,1.325,1.277,"Austria","Austria"
"68","AT",2021-09-20,1.321,1.259,"Austria","Austria"
"69","AT",2021-09-13,1.325,1.252,"Austria","Austria"
"70","AT",2021-09-06,1.323,1.25,"Austria","Austria"
"71","AT",2021-08-30,1.326,1.252,"Austria","Austria"
"72","AT",2021-08-23,1.32,1.24,"Austria","Austria"
"73","AT",2021-08-16,1.328,1.248,"Austria","Austria"
"74","AT",2021-08-09,1.33,1.248,"Austria","Austria"
"75","AT",2021-08-02,1.329,1.249,"Austria","Austria"
"76","AT",2021-07-26,1.317,1.243,"Austria","Austria"
"77","AT",2021-07-19,1.312,1.239,"Austria","Austria"
"78","AT",2021-07-12,1.307,1.245,"Austria","Austria"
"79","AT",2021-07-05,1.283,1.227,"Austria","Austria"
"80","AT",2021-06-28,1.278,1.224,"Austria","Austria"
"81","AT",2021-06-21,1.267,1.213,"Austria","Austria"
"82","AT",2021-06-14,1.253,1.203,"Austria","Austria"
"83","AT",2021-06-07,1.25,1.194,"Austria","Austria"
"84","AT",2021-05-31,1.245,1.188,"Austria","Austria"
"85","AT",2021-05-24,1.243,1.186,"Austria","Austria"
"86","AT",2021-05-17,1.246,1.187,"Austria","Austria"
"87","AT",2021-05-10,1.254,1.19,"Austria","Austria"
"88","AT",2021-05-03,1.236,1.173,"Austria","Austria"
"89","AT",2021-04-26,1.232,1.17,"Austria","Austria"
"90","AT",2021-04-19,1.225,1.168,"Austria","Austria"
"91","AT",2021-04-12,1.218,1.163,"Austria","Austria"
"92","AT",2021-03-29,1.214,1.167,"Austria","Austria"
"93","AT",2021-03-22,1.209,1.163,"Austria","Austria"
"94","AT",2021-03-15,1.216,1.168,"Austria","Austria"
"95","AT",2021-03-08,1.196,1.156,"Austria","Austria"
"96","AT",2021-03-01,1.181,1.147,"Austria","Austria"
"97","AT",2021-02-22,1.166,1.135,"Austria","Austria"
"98","AT",2021-02-15,1.15,1.123,"Austria","Austria"
"99","AT",2021-02-08,1.143,1.101,"Austria","Austria"
"100","AT",2021-02-01,1.125,1.085,"Austria","Austria"
"101","AT",2021-01-25,1.128,1.088,"Austria","Austria"
"102","AT",2021-01-18,1.119,1.083,"Austria","Austria"
"103","AT",2021-01-11,1.093,1.069,"Austria","Austria"
"104","AT",2020-12-21,1.072,1.043,"Austria","Austria"
"105","AT",2020-12-14,1.072,1.041,"Austria","Austria"
"106","AT",2020-12-07,1.073,1.042,"Austria","Austria"
"107","AT",2020-11-30,1.061,1.027,"Austria","Austria"
"108","AT",2020-11-23,1.063,1.021,"Austria","Austria"
"109","AT",2020-11-16,1.041,1.001,"Austria","Austria"
"110","AT",2020-11-09,1.041,0.994,"Austria","Austria"
"111","AT",2020-11-02,1.048,0.99,"Austria","Austria"
"112","AT",2020-10-26,1.052,0.986,"Austria","Austria"
"113","AT",2020-10-19,1.059,1,"Austria","Austria"
"114","AT",2020-10-12,1.065,1.006,"Austria","Austria"
"115","AT",2020-10-05,1.066,1.008,"Austria","Austria"
"116","AT",2020-09-28,1.063,1.009,"Austria","Austria"
"117","AT",2020-09-21,1.065,1.015,"Austria","Austria"
"118","AT",2020-09-14,1.066,1.019,"Austria","Austria"
"119","AT",2020-09-07,1.07,1.026,"Austria","Austria"
"120","AT",2020-08-31,1.074,1.031,"Austria","Austria"
"121","AT",2020-08-24,1.061,1.024,"Austria","Austria"
"122","AT",2020-08-17,1.062,1.028,"Austria","Austria"
"123","AT",2020-08-10,1.058,1.026,"Austria","Austria"
"124","AT",2020-08-03,1.059,1.03,"Austria","Austria"
"125","AT",2020-07-27,1.061,1.028,"Austria","Austria"
"126","AT",2020-07-20,1.059,1.031,"Austria","Austria"
"127","AT",2020-07-13,1.056,1.027,"Austria","Austria"
"128","AT",2020-07-06,1.046,1.017,"Austria","Austria"
"129","AT",2020-06-29,1.048,1.019,"Austria","Austria"
"130","AT",2020-06-22,1.035,1.01,"Austria","Austria"
"131","AT",2020-06-15,1.021,0.999,"Austria","Austria"
"132","AT",2020-06-08,1.014,0.991,"Austria","Austria"
"133","AT",2020-06-01,1.011,0.984,"Austria","Austria"
"134","AT",2020-05-25,1.006,0.983,"Austria","Austria"
"135","AT",2020-05-18,0.992,0.978,"Austria","Austria"
"136","AT",2020-05-11,1.019,0.996,"Austria","Austria"
"137","AT",2020-05-04,1.022,0.998,"Austria","Austria"
"138","AT",2020-04-27,1.035,1.012,"Austria","Austria"
"139","AT",2020-04-20,1.043,1.026,"Austria","Austria"
"140","AT",2020-04-06,1.086,1.06,"Austria","Austria"
"141","AT",2020-03-30,1.083,1.063,"Austria","Austria"
"142","AT",2020-03-23,1.085,1.06,"Austria","Austria"
"143","AT",2020-03-16,1.071,1.053,"Austria","Austria"
"144","AT",2020-03-09,1.157,1.117,"Austria","Austria"
"145","AT",2020-03-02,1.184,1.138,"Austria","Austria"
"146","AT",2020-02-24,1.211,1.171,"Austria","Austria"
"147","AT",2020-02-17,1.196,1.16,"Austria","Austria"
"148","AT",2020-02-10,1.201,1.176,"Austria","Austria"
"149","AT",2020-02-03,1.212,1.186,"Austria","Austria"
"150","AT",2020-01-27,1.225,1.202,"Austria","Austria"
"151","AT",2020-01-20,1.233,1.209,"Austria","Austria"
"152","AT",2020-01-13,1.243,1.221,"Austria","Austria"
"153","AT",2020-01-06,1.238,1.221,"Austria","Austria"
"154","AT",2019-12-16,1.228,1.199,"Austria","Austria"
"155","AT",2019-12-09,1.246,1.21,"Austria","Austria"
"156","AT",2019-12-02,1.243,1.205,"Austria","Austria"
"157","AT",2019-11-25,1.239,1.204,"Austria","Austria"
"158","AT",2019-11-18,1.238,1.207,"Austria","Austria"
"159","AT",2019-11-11,1.244,1.205,"Austria","Austria"
"160","AT",2019-11-04,1.233,1.202,"Austria","Austria"
"161","AT",2019-10-28,1.233,1.205,"Austria","Austria"
"162","AT",2019-10-21,1.232,1.202,"Austria","Austria"
"163","AT",2019-10-14,1.239,1.206,"Austria","Austria"
"164","AT",2019-10-07,1.248,1.21,"Austria","Austria"
"165","AT",2019-09-30,1.244,1.216,"Austria","Austria"
"166","AT",2019-09-23,1.269,1.231,"Austria","Austria"
"167","AT",2019-09-16,1.245,1.2,"Austria","Austria"
"168","AT",2019-09-09,1.246,1.197,"Austria","Austria"
"169","AT",2019-09-02,1.233,1.181,"Austria","Austria"
"170","AT",2019-08-26,1.239,1.18,"Austria","Austria"
"171","AT",2019-08-19,1.237,1.176,"Austria","Austria"
"172","AT",2019-08-12,1.247,1.18,"Austria","Austria"
"173","AT",2019-08-05,1.266,1.198,"Austria","Austria"
"174","AT",2019-07-29,1.263,1.194,"Austria","Austria"
"175","AT",2019-07-22,1.266,1.192,"Austria","Austria"
"176","AT",2019-07-15,1.274,1.208,"Austria","Austria"
"177","AT",2019-07-08,1.269,1.207,"Austria","Austria"
"178","AT",2019-07-01,1.254,1.195,"Austria","Austria"
"179","AT",2019-06-24,1.246,1.187,"Austria","Austria"
"180","AT",2019-06-17,1.263,1.197,"Austria","Austria"
"181","AT",2019-06-10,1.267,1.197,"Austria","Austria"
"182","AT",2019-06-03,1.305,1.237,"Austria","Austria"
"183","AT",2019-05-27,1.313,1.249,"Austria","Austria"
"184","AT",2019-05-20,1.306,1.249,"Austria","Austria"
"185","AT",2019-05-13,1.296,1.244,"Austria","Austria"
"186","AT",2019-05-06,1.288,1.238,"Austria","Austria"
"187","AT",2019-04-29,1.292,1.246,"Austria","Austria"
"188","AT",2019-04-15,1.271,1.232,"Austria","Austria"
"189","AT",2019-04-08,1.244,1.222,"Austria","Austria"
"190","AT",2019-04-01,1.224,1.214,"Austria","Austria"
"191","AT",2019-03-25,1.204,1.205,"Austria","Austria"
"192","AT",2019-03-18,1.207,1.208,"Austria","Austria"
"193","AT",2019-03-11,1.202,1.21,"Austria","Austria"
"194","AT",2019-03-04,1.189,1.215,"Austria","Austria"
"195","AT",2019-02-25,1.197,1.212,"Austria","Austria"
"196","AT",2019-02-18,1.178,1.199,"Austria","Austria"
"197","AT",2019-02-11,1.167,1.19,"Austria","Austria"
"198","AT",2019-02-04,1.16,1.178,"Austria","Austria"
"199","AT",2019-01-28,1.169,1.18,"Austria","Austria"
"200","AT",2019-01-21,1.168,1.212,"Austria","Austria"
"201","AT",2019-01-14,1.169,1.177,"Austria","Austria"
"202","AT",2019-01-07,1.172,1.175,"Austria","Austria"
"203","AT",2018-12-17,1.212,1.219,"Austria","Austria"
"204","AT",2018-12-10,1.242,1.245,"Austria","Austria"
"205","AT",2018-12-03,1.282,1.284,"Austria","Austria"
"206","AT",2018-11-26,1.31,1.312,"Austria","Austria"
"207","AT",2018-11-19,1.313,1.315,"Austria","Austria"
"208","AT",2018-11-12,1.317,1.319,"Austria","Austria"
