geo,year,gdp_regional,employment_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,employment_in_agriculture_forestry_and_fishing_isic_rev4,employment_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,employment_in_financial_and_insurance_activities_isic_rev4,employment_in_other_services_isic_rev4,employment_in_construction_isic_rev4,of_which_employment_in_manufacturing_isic_rev4,regional_employment_at_place_of_work_total_activities,employment_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,employment_in_information_and_communication_isic_rev4,employment_in_industry_including_energy_isic_rev4,employment_in_real_estate_activities_isic_rev4,disposable_household_income,primary_income_of_private_households,labour_utilisation_percent_total_employment_over_population,proc_gva_in_other_services_isic_rev4,proc_gva_in_information_and_communication_isic_rev4,proc_gva_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,proc_gva_in_real_estate_activities_isic_rev4,proc_gva_in_industry_including_energy_isic_rev4,proc_gva_in_construction_isic_rev4,proc_gva_in_financial_and_insurance_activities_isic_rev4,proc_gva_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,proc_gva_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,proc_gva_in_agriculture_forestry_and_fishing_isic_rev4,air_pollution_in_pm2_5_average_level_in_mg_m3_experienced_by_the_population,pct_patent_applications_per_million_inhabitants_fractional_count_by_inventor_and_priority_year_level,pct_patent_applications_count_fractional_count_by_inventor_place_of_residence_and_priority_year,obs_value,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate
AT11,2001,16100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16324,17638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.23,39.4,10.8594,NA,60.1,24.6,3.7,5.6,41.6,40.2,38.9,59.2,13800,AT,Austria,FALSE
AT11,2002,17100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16956,18280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.73,33.9,9.3827,0.0475,61.1,27.4,4.7,4.3,42.1,40.7,39.4,60.8,14300,AT,Austria,FALSE
AT11,2003,17800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17920,19246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.24,40.9,11.3002,NA,62.9,27.2,4.2,5.8,42.5,41.2,39.9,60.5,15200,AT,Austria,FALSE
AT11,2004,18900,5200,11600,23900,3100,4400,8800,15700,103900,26600,1700,17600,1100,19146,20869,37.5,0.033227519143516536,0.018106630653736022,0.19996086563810847,0.09550356664284829,0.21428509033224025,0.09669681526659411,0.04536441253906885,0.2015524461596787,0.039593841229797325,0.055312227566314404,17.63,50.5,13.9684,0.0538,60.1,33.5,4.4,8.6,42.9,41.6,40.5,63.3,16100,AT,Austria,FALSE
AT11,2005,19100,5300,11100,24600,3200,4400,8700,15000,104600,27400,1600,17000,1200,20411,22004,37.5,0.029296807263596698,0.02123519986682481,0.20743249335858113,0.10361827274555908,0.20998848589522165,0.09555666534878719,0.04640149544637964,0.20487650082194062,0.04168314015994895,0.039912673145084655,19.4,43.9,12.2019,NA,63.3,29.6,3.1,9.4,43.2,42,40.9,63.7,17300,AT,Austria,FALSE
AT11,2006,19500,5600,10700,24600,3300,4500,9000,15100,105900,28100,1600,17200,1300,21532,23353,37.9,0.030549599036512644,0.02201137776733347,0.20948832685459895,0.09924050302395337,0.19924148217776866,0.0916504290325634,0.050095141112384015,0.21024717106143537,0.04421205860561969,0.043263911327830494,19.91,91.7,25.6068,0.0665,63.7,30.9,3.2,9.9,43.6,42.5,41.3,62.3,18100,AT,Austria,FALSE
AT11,2007,20400,5800,10500,24600,3300,4600,9200,15700,107400,28800,1600,17800,1200,22587,24564,38.3,0.02940607617264562,0.019961472702094245,0.2074501582094864,0.10336765718441268,0.2006777090956916,0.0924964605946201,0.05364423367038272,0.20228069225353745,0.04491137947841156,0.04580261335767722,17,82.7,23.1732,0.0556,64.7,31,3,10.8,44,42.9,41.8,64.2,18900,AT,Austria,FALSE
AT11,2008,20600,6300,10200,25200,3200,4600,9800,15600,108500,28700,1600,17800,1300,23250,25463,38.5,0.030039139965291818,0.01798826845569484,0.20747464407700264,0.10391265356430339,0.194550845396391,0.09570415379036915,0.05518690340650502,0.2043306140781516,0.05134453167084229,0.03911907472704239,15.92,41.3,11.6037,NA,65,32.7,2.6,10.6,44.5,43.4,42.2,64.8,19200,AT,Austria,FALSE
AT11,2009,20400,6400,9800,26000,3200,4600,9800,15000,108500,29000,1500,17200,1300,23420,25092,38.3,0.029617293241924296,0.01585302037888498,0.21794411975681746,0.10505179976246193,0.19390220957443058,0.09268247509966016,0.046690342078340524,0.21480879361234256,0.0500005879655217,0.03344935852961582,17.12,62,17.5334,0.053,65.1,31.3,NA,10.4,44.9,43.8,42.7,65.3,18900,AT,Austria,FALSE
AT11,2010,21200,6600,9300,26300,3200,4600,9900,14800,109100,29500,1500,17000,1300,23912,25531,38.4,0.0293228191338486,0.0160859914002955,0.21916828128682286,0.1033841403611763,0.20006660749136715,0.08997938272354081,0.04189074960240126,0.21313691649650238,0.04993303971471672,0.03669621198116363,16.33,46.2,13.1119,NA,64.8,33.2,2.5,10,45.3,44.2,43.1,65.5,19200,AT,Austria,FALSE
