DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL01,2017,25.6,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL01,2018,25.1,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL01,2019,25.9,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL01,2020,25.1,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL02,2017,20.8,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL02,2018,23.6,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL02,2019,22.7,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL02,2020,21.3,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL03,2017,25.6,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL03,2018,21.6,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL03,2019,20.8,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AL03,2020,19.5,
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT11,2014,9.1,u
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT11,2015,11.7,u
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT11,2016,12.7,u
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT11,2017,13.1,u
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT11,2018,11.8,u
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT12,2014,10.7,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT12,2015,10.0,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT12,2016,9.7,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT12,2017,9.7,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT12,2018,9.7,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT13,2014,21.6,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT13,2015,20.6,e
ESTAT:ILC_LI41(1.0),24/03/23 23:00:00,A,PC,AT13,2016,20.3,e
