DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2000,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2001,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2002,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2003,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2004,,bu
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2005,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2006,,bu
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2007,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2008,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2009,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2010,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2011,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2012,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2013,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2014,,bu
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2015,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2016,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2017,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2018,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2019,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2020,,u
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT11,2021,,bu
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2000,8.4,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2001,10.5,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2002,8.6,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2003,7.9,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2004,8.3,b
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2005,9.5,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2006,9.7,b
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2007,8.5,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2008,9.5,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2009,7.8,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2010,5.7,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2011,7.7,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2012,6.7,
ESTAT:EDAT_LFSE_16(1.0),15/02/23 23:00:00,A,PC,T,Y18-24,AT12,2013,5.7,
