DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,1999,63.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2000,63.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2001,63.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2002,64.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2003,64.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2004,62.5,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2005,64.0,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2006,64.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2007,65.5,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2008,65.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2009,66.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2010,66.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2011,66.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2012,66.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2013,66.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2014,66.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2015,66.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2016,67.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2017,67.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2018,68.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2019,68.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2020,67.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT,2021,68.2,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,1999,64.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2000,64.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2001,64.0,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2002,64.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2003,64.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2004,62.5,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2005,63.3,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2006,64.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2007,64.7,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2008,64.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2009,64.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2010,64.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2011,65.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2012,65.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2013,65.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2014,65.3,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2015,65.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2016,66.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2017,67.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2018,67.3,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2019,67.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2020,66.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT1,2021,67.7,b
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,1999,61.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,2000,62.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,2001,60.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,2002,61.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,2003,62.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,AT11,2004,60.1,b
