DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2008,3.5,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2009,3.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2010,3.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2011,3.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2012,3.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2013,3.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2014,4.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2015,4.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2016,4.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2017,4.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2018,4.2,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2019,4.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2020,4.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT,2021,4.5,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT1,2008,4.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT1,2009,5.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT1,2010,4.9,
