DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2000,144159,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2001,147403,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2002,149403,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2003,153571,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2004,160550,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2005,169506,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2006,178576,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2007,187998,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2008,194917,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2009,190339,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2010,191190,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2011,198228,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2012,206636,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2013,208226,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2014,213942,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2015,219047,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2016,223332,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2017,233070,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2018,243704,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2019,253289,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT,2020,241124,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2000,63846,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2001,65094,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2002,65783,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2003,67438,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2004,70270,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2005,73872,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2006,77821,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2007,82112,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2008,85180,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2009,83425,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2010,83757,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2011,86485,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2012,89695,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2013,90126,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2014,92456,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2015,94539,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2016,96535,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2017,100230,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2018,104716,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2019,108977,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT1,2020,104161,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2000,4389,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2001,4511,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2002,4611,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2003,4789,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2004,5173,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2005,5441,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2006,5731,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2007,6052,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2008,6259,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2009,6139,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2010,6214,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2011,6413,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2012,6792,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2013,6755,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2014,6925,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2015,7150,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2016,7218,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2017,7585,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2018,7867,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2019,8130,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT11,2020,7799,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT12,2000,27970,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT12,2001,28734,
