DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2000,8.3,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2001,8.2,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2002,7.5,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2003,8.6,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2004,11.6,b
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2005,12.9,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2006,13.2,b
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2007,12.9,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2008,13.3,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2009,13.9,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2010,13.8,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2011,13.5,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2012,14.2,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2013,14.1,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2014,14.3,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2015,14.4,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2016,14.9,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2017,15.8,
ESTAT:TRNG_LFSE_04(1.0),27/09/22 23:00:00,A,PC,T,Y25-64,AT,2018,15.1,
