DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1990,3286500,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1991,3259814,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1992,3190103,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1993,3167478,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1994,3220310,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1995,3248836,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1996,3283000,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1997,3324317,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1998,3354341,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,1999,3373445,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2000,3058497,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2001,3063318,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2002,3057018,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2003,3044993,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2004,3034231,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2005,3019634,
ESTAT:DEMO_R_D2JAN(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AL,2006,3003329,
