DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2002,27.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2003,28.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2004,28.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2005,29.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2006,29.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2007,30.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2008,31.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2009,32.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2010,33.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2011,33.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2012,34.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2013,35.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2014,35.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2015,36.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2016,36.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2017,37.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2018,37.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2019,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2020,38.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL,2021,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2002,27.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2003,28.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2004,28.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2005,29.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2006,29.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2007,30.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2008,31.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2009,32.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2010,33.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2011,33.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2012,34.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2013,35.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2014,35.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2015,36.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2016,36.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2017,37.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2018,37.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2019,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2020,38.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL0,2021,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL01,2019,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL01,2020,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL01,2021,39.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL02,2019,36.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL02,2020,36.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL02,2021,37.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL03,2019,39.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL03,2020,40.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AL03,2021,40.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1990,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1991,37.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1992,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1993,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1994,37.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT,1995,38.0,
