Provinces;Five-year age group;Nationality;Sex;Period;Total
National Total;Total;Total;Both sexes;1 July 2022;47,615,033.864697
National Total;Total;Total;Both sexes;1 January 2022;47,432,892.943294
National Total;Total;Total;Both sexes;1 July 2021;47,331,301.774407
National Total;Total;Total;Both sexes;1 January 2021;47,398,694.945392
National Total;Total;Total;Both sexes;1 July 2020;47,355,684.576847
National Total;Total;Total;Both sexes;1 January 2020;47,332,613.888190
National Total;Total;Total;Both sexes;1 July 2019;47,105,358.373156
National Total;Total;Total;Both sexes;1 January 2019;46,937,059.877999
National Total;Total;Total;Both sexes;1 July 2018;46,728,814.005226
National Total;Total;Total;Both sexes;1 January 2018;46,658,446.572370
National Total;Total;Total;Both sexes;1 July 2017;46,532,868.964074
National Total;Total;Total;Both sexes;1 January 2017;46,527,038.655718
National Total;Total;Total;Both sexes;1 July 2016;46,449,873.600640
National Total;Total;Total;Both sexes;1 January 2016;46,440,099.086762
National Total;Total;Total;Both sexes;1 July 2015;46,410,148.985662
National Total;Total;Total;Both sexes;1 January 2015;46,449,564.792117
National Total;Total;Total;Both sexes;1 July 2014;46,455,122.544336
National Total;Total;Total;Both sexes;1 January 2014;46,512,198.940873
National Total;Total;Total;Both sexes;1 July 2013;46,593,235.885922
National Total;Total;Total;Both sexes;1 January 2013;46,727,890.063162
National Total;Total;Total;Both sexes;1 July 2012;46,766,403.413366
National Total;Total;Total;Both sexes;1 January 2012;46,818,215.790189
National Total;Total;Total;Both sexes;1 July 2011;46,736,257.032160
National Total;Total;Total;Both sexes;1 January 2011;46,667,174.570246
National Total;Total;Total;Both sexes;1 July 2010;46,562,482.603609
National Total;Total;Total;Both sexes;1 January 2010;46,486,621.011706
National Total;Total;Total;Both sexes;1 July 2009;46,367,550.006319
National Total;Total;Total;Both sexes;1 January 2009;46,239,270.703734
National Total;Total;Total;Both sexes;1 July 2008;45,983,168.509952
National Total;Total;Total;Both sexes;1 January 2008;45,668,938.282191
National Total;Total;Total;Both sexes;1 July 2007;45,236,004.357528
National Total;Total;Total;Both sexes;1 January 2007;44,784,658.800205
National Total;Total;Total;Both sexes;1 July 2006;44,360,521.235999
National Total;Total;Total;Both sexes;1 January 2006;44,009,968.595974
National Total;Total;Total;Both sexes;1 July 2005;43,662,613.030351
National Total;Total;Total;Both sexes;1 January 2005;43,296,335.061774
National Total;Total;Total;Both sexes;1 July 2004;42,859,172.249660
National Total;Total;Total;Both sexes;1 January 2004;42,547,454.177776
National Total;Total;Total;Both sexes;1 July 2003;42,196,231.145399
National Total;Total;Total;Both sexes;1 January 2003;41,827,835.630978
National Total;Total;Total;Both sexes;1 July 2002;41,423,519.715133
National Total;Total;Total;Both sexes;1 January 2002;41,035,270.859351
National Total;Total;Spanish ;Both sexes;1 July 2022;42,035,086.604604
National Total;Total;Spanish ;Both sexes;1 January 2022;42,025,401.804391
National Total;Total;Spanish ;Both sexes;1 July 2021;42,006,545.918370
