"Number of persons by region, foreign/Swedish background, age, sex and year"

"region","foreign/Swedish background","age","sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"SE110 Stockholm county","foreign born","0-4 years","men",1634,1632,1587,1549,1722,1875,2106,2247,2338,2527,2541,2597,2717,2836,3008,3471,3703,3600,3156,3036,3000
"SE110 Stockholm county","foreign born","0-4 years","women",1598,1675,1793,1833,2014,2144,2231,2256,2231,2313,2330,2303,2378,2471,2736,3198,3493,3472,3011,2898,2813
"SE110 Stockholm county","foreign born","0-4 years","total",3232,3307,3380,3382,3736,4019,4337,4503,4569,4840,4871,4900,5095,5307,5744,6669,7196,7072,6167,5934,5813
"SE110 Stockholm county","foreign born","5-14 years","men",7707,7484,7315,7394,7892,8601,9177,9790,10321,11018,11747,12388,12772,13245,13900,15073,16267,17299,17167,17344,17456
"SE110 Stockholm county","foreign born","5-14 years","women",7528,7360,7172,7218,7877,8740,9383,10046,10503,11118,11853,12354,12795,13123,13570,14411,15319,16038,15796,15949,16082
"SE110 Stockholm county","foreign born","5-14 years","total",15235,14844,14487,14612,15769,17341,18560,19836,20824,22136,23600,24742,25567,26368,27470,29484,31586,33337,32963,33293,33538
"SE110 Stockholm county","foreign born","15-24 years","men",15857,16289,16475,16604,17491,18389,18640,19211,19658,19958,20395,20985,21943,23250,25369,27831,29340,29982,29497,29763,30300
"SE110 Stockholm county","foreign born","15-24 years","women",16916,17113,17380,17315,17983,18654,19063,19636,19952,20209,20615,20818,21248,21928,22957,24085,24839,25218,24972,25185,25722
"SE110 Stockholm county","foreign born","15-24 years","total",32773,33402,33855,33919,35474,37043,37703,38847,39610,40167,41010,41803,43191,45178,48326,51916,54179,55200,54469,54948,56022
"SE110 Stockholm county","foreign born","25-34 years","men",29855,29841,29918,31116,33873,36885,39581,42714,45692,48939,51015,52511,53779,54632,56993,59155,60745,61583,60659,61102,62483
"SE110 Stockholm county","foreign born","25-34 years","women",33561,33804,34018,34794,36785,38734,40978,43456,45784,48236,50438,52184,53596,54410,55748,57486,59133,60196,59447,60008,61081
"SE110 Stockholm county","foreign born","25-34 years","total",63416,63645,63936,65910,70658,75619,80559,86170,91476,97175,101453,104695,107375,109042,112741,116641,119878,121779,120106,121110,123564
"SE110 Stockholm county","foreign born","35-44 years","men",36588,36859,37049,37338,38338,39459,40557,42067,43243,45523,47633,49688,52078,54806,58414,62374,66416,70300,72472,75442,78638
"SE110 Stockholm county","foreign born","35-44 years","women",35138,35936,36597,37196,38366,39755,41243,43190,44687,46720,48584,50177,51965,54159,56740,59516,62548,65536,67543,70085,72605
"SE110 Stockholm county","foreign born","35-44 years","total",71726,72795,73646,74534,76704,79214,81800,85257,87930,92243,96217,99865,104043,108965,115154,121890,128964,135836,140015,145527,151243
"SE110 Stockholm county","foreign born","45-54 years","men",29828,30390,30931,31676,32450,33711,34913,36489,37663,38953,40072,41422,42892,44016,45580,47395,49012,50669,52163,53963,56604
"SE110 Stockholm county","foreign born","45-54 years","women",30651,30915,31430,32224,32933,34036,35166,36520,37669,38860,40021,41665,43091,44299,45935,47655,49402,51190,52516,53984,55854
"SE110 Stockholm county","foreign born","45-54 years","total",60479,61305,62361,63900,65383,67747,70079,73009,75332,77813,80093,83087,85983,88315,91515,95050,98414,101859,104679,107947,112458
"SE110 Stockholm county","foreign born","55-64 years","men",21408,22101,22644,23230,23740,24431,25089,26061,26985,27989,28875,29936,30946,32221,33471,34873,36222,37683,38775,39925,41137
"SE110 Stockholm county","foreign born","55-64 years","women",21509,22529,23428,24307,25251,26311,27398,28528,29481,30354,31072,31884,32900,34094,35212,36431,37600,38706,39815,40912,42025
"SE110 Stockholm county","foreign born","55-64 years","total",42917,44630,46072,47537,48991,50742,52487,54589,56466,58343,59947,61820,63846,66315,68683,71304,73822,76389,78590,80837,83162
"SE110 Stockholm county","foreign born","65-74 years","men",11404,11932,12442,12983,13670,14257,15000,15613,16189,17006,17824,18564,19316,20033,20644,21476,22285,23210,24033,24913,25852
"SE110 Stockholm county","foreign born","65-74 years","women",15733,15783,15848,15865,16172,16306,16673,17127,17747,18639,19632,20712,21678,22747,23717,24724,25757,26869,27758,28488,29201
"SE110 Stockholm county","foreign born","65-74 years","total",27137,27715,28290,28848,29842,30563,31673,32740,33936,35645,37456,39276,40994,42780,44361,46200,48042,50079,51791,53401,55053
"SE110 Stockholm county","foreign born","75-84 years","men",4937,5149,5397,5671,5945,6107,6263,6610,7010,7352,7842,8334,8806,9345,9866,10369,10914,11379,11647,12230,12905
"SE110 Stockholm county","foreign born","75-84 years","women",9514,10041,10526,11023,11353,11520,11616,11821,12015,12222,12510,12659,12849,12946,13282,13513,13849,14191,14662,15403,16254
"SE110 Stockholm county","foreign born","75-84 years","total",14451,15190,15923,16694,17298,17627,17879,18431,19025,19574,20352,20993,21655,22291,23148,23882,24763,25570,26309,27633,29159
"SE110 Stockholm county","foreign born","85-94 years","men",874,911,990,1074,1188,1271,1402,1551,1658,1753,1836,1955,2099,2264,2428,2494,2585,2785,2838,3031,3267
"SE110 Stockholm county","foreign born","85-94 years","women",2677,2782,2913,3095,3283,3441,3670,3935,4126,4418,4630,4943,5216,5468,5602,5749,5769,5908,5943,6165,6392
"SE110 Stockholm county","foreign born","85-94 years","total",3551,3693,3903,4169,4471,4712,5072,5486,5784,6171,6466,6898,7315,7732,8030,8243,8354,8693,8781,9196,9659
"SE110 Stockholm county","foreign born","95+ years","men",51,62,55,61,66,73,63,75,77,81,80,81,103,120,120,129,144,163,158,168,192
"SE110 Stockholm county","foreign born","95+ years","women",246,264,287,298,302,315,341,383,405,400,381,362,371,405,460,496,540,581,581,631,704
"SE110 Stockholm county","foreign born","95+ years","total",297,326,342,359,368,388,404,458,482,481,461,443,474,525,580,625,684,744,739,799,896
"SE110 Stockholm county","foreign born","data not available","men",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","foreign born","data not available","women",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","foreign born","data not available","total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","foreign born","total","men",160143,162650,164803,168696,176375,185059,192791,202428,210834,221099,229860,238461,247451,256768,269793,284640,297633,308653,312565,320917,331834
"SE110 Stockholm county","foreign born","total","women",175071,178202,181392,185168,192319,199956,207762,216898,224600,233489,242066,250061,258087,266050,275959,287264,298249,307905,312044,319708,328733
"SE110 Stockholm county","foreign born","total","total",335214,340852,346195,353864,368694,385015,400553,419326,435434,454588,471926,488522,505538,522818,545752,571904,595882,616558,624609,640625,660567
"SE110 Stockholm county","born in Sweden with two foreign born parents","0-4 years","men",9417,9530,9810,10144,10757,11370,11929,12487,13281,13899,14437,15002,15568,16128,16698,17140,17747,18224,18352,18304,18279
"SE110 Stockholm county","born in Sweden with two foreign born parents","0-4 years","women",9228,9274,9455,9699,10176,10686,11226,11821,12466,13079,13696,14186,14544,14877,15473,16044,16655,17204,17408,17347,17173
"SE110 Stockholm county","born in Sweden with two foreign born parents","0-4 years","total",18645,18804,19265,19843,20933,22056,23155,24308,25747,26978,28133,29188,30112,31005,32171,33184,34402,35428,35760,35651,35452
"SE110 Stockholm county","born in Sweden with two foreign born parents","5-14 years","men",18213,18437,18550,18608,18509,18515,18612,18825,19081,19695,20495,21321,22410,23507,24622,25677,26726,27968,29031,30047,30715
"SE110 Stockholm county","born in Sweden with two foreign born parents","5-14 years","women",17189,17381,17594,17710,17816,17849,17950,18177,18458,18983,19566,20322,21281,22242,23239,24208,25062,26047,26952,27994,28873
"SE110 Stockholm county","born in Sweden with two foreign born parents","5-14 years","total",35402,35818,36144,36318,36325,36364,36562,37002,37539,38678,40061,41643,43691,45749,47861,49885,51788,54015,55983,58041,59588
"SE110 Stockholm county","born in Sweden with two foreign born parents","15-24 years","men",11271,11816,12305,12858,13591,14377,15276,16194,16987,17418,17801,18085,18338,18515,18451,18471,18486,18674,18847,19429,20093
"SE110 Stockholm county","born in Sweden with two foreign born parents","15-24 years","women",10765,11291,11744,12286,12886,13621,14334,15223,15959,16438,16914,17225,17517,17672,17819,17904,17998,18184,18328,18767,19276
"SE110 Stockholm county","born in Sweden with two foreign born parents","15-24 years","total",22036,23107,24049,25144,26477,27998,29610,31417,32946,33856,34715,35310,35855,36187,36270,36375,36484,36858,37175,38196,39369
"SE110 Stockholm county","born in Sweden with two foreign born parents","25-34 years","men",8115,8348,8671,8926,9141,9353,9595,10015,10517,11131,11703,12359,12911,13568,14438,15372,16413,17344,18147,18660,19174
"SE110 Stockholm county","born in Sweden with two foreign born parents","25-34 years","women",7760,7962,8202,8446,8562,8807,9142,9460,9970,10524,11081,11814,12387,13067,13845,14758,15672,16661,17471,18072,18637
"SE110 Stockholm county","born in Sweden with two foreign born parents","25-34 years","total",15875,16310,16873,17372,17703,18160,18737,19475,20487,21655,22784,24173,25298,26635,28283,30130,32085,34005,35618,36732,37811
"SE110 Stockholm county","born in Sweden with two foreign born parents","35-44 years","men",5523,5731,5900,6155,6500,6830,7017,7185,7304,7440,7621,7921,8350,8694,8941,9191,9437,9841,10335,10824,11312
"SE110 Stockholm county","born in Sweden with two foreign born parents","35-44 years","women",5158,5336,5546,5775,6062,6282,6457,6667,6805,7040,7225,7485,7868,8173,8353,8617,8944,9276,9751,10196,10769
"SE110 Stockholm county","born in Sweden with two foreign born parents","35-44 years","total",10681,11067,11446,11930,12562,13112,13474,13852,14109,14480,14846,15406,16218,16867,17294,17808,18381,19117,20086,21020,22081
"SE110 Stockholm county","born in Sweden with two foreign born parents","45-54 years","men",2524,2783,3067,3312,3577,3801,4108,4410,4683,4968,5195,5411,5594,5871,6206,6489,6656,6805,6924,7047,7160
"SE110 Stockholm county","born in Sweden with two foreign born parents","45-54 years","women",2389,2653,2898,3201,3500,3721,3985,4253,4483,4675,4886,5076,5314,5565,5867,6115,6302,6484,6622,6812,6983
"SE110 Stockholm county","born in Sweden with two foreign born parents","45-54 years","total",4913,5436,5965,6513,7077,7522,8093,8663,9166,9643,10081,10487,10908,11436,12073,12604,12958,13289,13546,13859,14143
"SE110 Stockholm county","born in Sweden with two foreign born parents","55-64 years","men",476,605,725,884,1041,1251,1424,1620,1799,2017,2335,2584,2844,3062,3323,3536,3838,4086,4327,4586,4812
"SE110 Stockholm county","born in Sweden with two foreign born parents","55-64 years","women",441,548,687,819,951,1142,1349,1531,1714,1969,2258,2509,2737,3018,3320,3539,3776,4031,4243,4414,4600
"SE110 Stockholm county","born in Sweden with two foreign born parents","55-64 years","total",917,1153,1412,1703,1992,2393,2773,3151,3513,3986,4593,5093,5581,6080,6643,7075,7614,8117,8570,9000,9412
"SE110 Stockholm county","born in Sweden with two foreign born parents","65-74 years","men",61,71,81,91,111,128,161,187,267,341,419,530,651,784,921,1104,1247,1423,1582,1766,2024
"SE110 Stockholm county","born in Sweden with two foreign born parents","65-74 years","women",43,52,63,75,92,109,119,170,245,306,403,504,636,747,868,1048,1242,1387,1552,1764,2009
"SE110 Stockholm county","born in Sweden with two foreign born parents","65-74 years","total",104,123,144,166,203,237,280,357,512,647,822,1034,1287,1531,1789,2152,2489,2810,3134,3530,4033
"SE110 Stockholm county","born in Sweden with two foreign born parents","75-84 years","men",2,3,3,5,6,9,15,26,31,39,50,59,69,78,96,110,135,161,224,287,352
"SE110 Stockholm county","born in Sweden with two foreign born parents","75-84 years","women",1,1,2,4,4,5,10,17,28,37,38,46,54,66,79,93,96,144,208,263,349
"SE110 Stockholm county","born in Sweden with two foreign born parents","75-84 years","total",3,4,5,9,10,14,25,43,59,76,88,105,123,144,175,203,231,305,432,550,701
"SE110 Stockholm county","born in Sweden with two foreign born parents","85-94 years","men",0,0,0,0,0,1,0,0,0,0,0,1,1,3,4,5,10,16,15,17,23
"SE110 Stockholm county","born in Sweden with two foreign born parents","85-94 years","women",0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,9,13,23,29,27
"SE110 Stockholm county","born in Sweden with two foreign born parents","85-94 years","total",0,0,0,0,0,1,0,0,0,0,1,2,3,5,7,8,19,29,38,46,50
"SE110 Stockholm county","born in Sweden with two foreign born parents","95+ years","men",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","born in Sweden with two foreign born parents","95+ years","women",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SE110 Stockholm county","born in Sweden with two foreign born parents","95+ years","total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SE110 Stockholm county","born in Sweden with two foreign born parents","data not available","men",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","born in Sweden with two foreign born parents","data not available","women",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","born in Sweden with two foreign born parents","data not available","total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE110 Stockholm county","born in Sweden with two foreign born parents","total","men",55602,57324,59112,60983,63233,65635,68137,70949,73950,76948,80056,83273,86736,90210,93700,97095,100695,104542,107784,110967,113944
"SE110 Stockholm county","born in Sweden with two foreign born parents","total","women",52974,54498,56191,58015,60049,62222,64572,67319,70128,73051,76068,79168,82340,85429,88866,92329,95756,99431,102558,105658,108697
"SE110 Stockholm county","born in Sweden with two foreign born parents","total","total",108576,111822,115303,118998,123282,127857,132709,138268,144078,149999,156124,162441,169076,175639,182566,189424,196451,203973,210342,216625,222641
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","0-4 years","men",8849,9359,9823,10200,10704,11048,11633,12140,12729,13114,13410,13726,14005,14094,14230,14253,14196,14003,13828,13727,13318
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","0-4 years","women",8334,8691,9110,9723,10239,10749,11255,11807,12364,12707,12881,13107,13333,13403,13515,13678,13632,13359,13188,12982,12626
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","0-4 years","total",17183,18050,18933,19923,20943,21797,22888,23947,25093,25821,26291,26833,27338,27497,27745,27931,27828,27362,27016,26709,25944
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","5-14 years","men",16880,16633,16524,16348,16272,16346,16467,16851,17358,18064,18874,19790,20719,21644,22425,23026,23655,24337,24839,25100,25393
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","5-14 years","women",15833,15746,15499,15235,15163,15117,15293,15642,16303,17028,17915,18827,19773,20764,21579,22242,22781,23434,23844,24192,24421
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","5-14 years","total",32713,32379,32023,31583,31435,31463,31760,32493,33661,35092,36789,38617,40492,42408,44004,45268,46436,47771,48683,49292,49814
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","15-24 years","men",12893,13259,13612,14101,14668,15218,15778,16147,16364,16436,16513,16305,16153,15995,15920,16012,16055,16377,16675,17225,17855
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","15-24 years","women",12659,12901,13216,13598,14042,14590,15142,15475,15706,15822,15793,15728,15507,15229,15065,15008,15062,15305,15829,16359,17049
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","15-24 years","total",25552,26160,26828,27699,28710,29808,30920,31622,32070,32258,32306,32033,31660,31224,30985,31020,31117,31682,32504,33584,34904
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","25-34 years","men",14583,14339,14208,14217,14038,13920,13876,13870,14018,14276,14590,15109,15477,15911,16353,16743,17203,17492,17651,17563,17522
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","25-34 years","women",14173,13890,13913,13841,13734,13703,13648,13654,13748,14027,14379,14824,15201,15618,16072,16532,17017,17289,17393,17391,17228
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","25-34 years","total",28756,28229,28121,28058,27772,27623,27524,27524,27766,28303,28969,29933,30678,31529,32425,33275,34220,34781,35044,34954,34750
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","35-44 years","men",13813,13976,14108,14317,14493,14698,14745,14622,14433,14196,13989,13953,13984,14087,13958,13797,13665,13557,13635,13786,13987
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","35-44 years","women",13052,13141,13205,13478,13648,13755,13771,13709,13557,13457,13367,13278,13417,13490,13418,13431,13290,13262,13259,13365,13524
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","35-44 years","total",26865,27117,27313,27795,28141,28453,28516,28331,27990,27653,27356,27231,27401,27577,27376,27228,26955,26819,26894,27151,27511
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","45-54 years","men",8430,8894,9398,9769,10279,10669,11096,11726,12223,12645,13098,13332,13478,13668,13877,14079,14122,14005,13823,13599,13297
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","45-54 years","women",7974,8450,8877,9289,9732,10138,10588,11138,11723,12134,12410,12602,12731,13052,13232,13335,13360,13277,13078,12919,12774
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","45-54 years","total",16404,17344,18275,19058,20011,20807,21684,22864,23946,24779,25508,25934,26209,26720,27109,27414,27482,27282,26901,26518,26071
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","55-64 years","men",3715,4045,4370,4756,5114,5513,5922,6361,6806,7292,7784,8286,8784,9184,9660,10010,10447,11010,11466,11853,12242
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","55-64 years","women",3621,3995,4308,4649,5027,5429,5864,6247,6644,7046,7517,8012,8444,8814,9245,9680,10098,10618,11160,11513,11774
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","55-64 years","total",7336,8040,8678,9405,10141,10942,11786,12608,13450,14338,15301,16298,17228,17998,18905,19690,20545,21628,22626,23366,24016
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","65-74 years","men",803,989,1158,1361,1628,1886,2125,2372,2646,2915,3199,3465,3756,4100,4390,4729,5080,5437,5772,6215,6644
"SE110 Stockholm county","born in Sweden with one parent born in Sweden and one foreign born parent","65-74 years","women",832,993,1208,1405,1634,1872,2081,2356,2629,2934,3230,3587,3890,4223,4541,4919,5311,5630,5989,6336,6754
