DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2014,-15.9,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2015,-10.8,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2016,-9.3,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2017,-12.6,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2018,-10.7,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2019,-14.4,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL01,2020,-9.3,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2014,5.9,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2015,0.2,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2016,8.8,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2017,9.7,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2018,2.1,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2019,1.2,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL02,2020,-0.1,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2014,-15.3,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2015,-12.6,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2016,-12.7,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2017,-17.4,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2018,-9.8,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2019,-14.6,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AL03,2020,-10.4,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AT11,2000,1.6,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AT11,2001,4.8,
ESTAT:DEMO_R_GIND3(1.0),14/04/23 23:00:00,A,CNMIGRATRT,AT11,2002,2.4,
