DATAFLOW,LAST UPDATE,freq,unit,c_birth,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,1999,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2000,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2001,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2002,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2003,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2004,,bu
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2005,,bu
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2006,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2007,,bu
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2008,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2009,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2010,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2011,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2012,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2013,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2014,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2015,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2016,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2017,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2018,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2019,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2020,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2021,,bu
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT11,2022,,u
ESTAT:LFST_R_LFUR2GAC(1.0),27/04/23 03:08:00,A,PC,EU27_2020_FOR,T,Y15-64,AT12,1999,,u
