DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2012,56.4,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2013,55.1,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2014,53.7,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2015,52.7,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2016,51.6,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2017,49.9,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2018,48.6,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL011,2019,47.6,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2012,354.5,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2013,357.2,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2014,359.8,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2015,362.5,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2016,366.9,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2017,373.0,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2018,376.5,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL012,2019,377.2,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2012,36.3,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2013,35.6,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2014,34.8,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2015,34.2,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2016,33.6,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2017,32.8,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2018,32.2,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL013,2019,31.8,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2012,82.3,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2013,81.1,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2014,79.9,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2015,78.9,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2016,78.0,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2017,77.0,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2018,75.9,
ESTAT:DEMO_R_D3DENS(1.0),21/12/22 23:00:00,A,PER_KM2,AL014,2019,74.6,
