DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1979,3181.04,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1980,3464.25,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1981,3019.58,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1982,3108.29,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1983,2899.08,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1984,3222.42,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1985,3393.49,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1986,3248.11,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1987,3348.00,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1988,2996.21,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1989,2800.54,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1990,2820.86,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1991,3277.06,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1992,2844.26,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1993,3021.45,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1994,2697.23,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1995,3024.23,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1996,3413.75,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1997,3100.17,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1998,2907.47,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,1999,2853.09,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2000,2524.98,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2001,2841.25,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2002,2692.54,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2003,3051.12,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2004,3026.46,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2005,3133.13,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2006,2924.30,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2007,2646.36,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2008,2651.93,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2009,2754.03,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2010,3160.59,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2011,2844.09,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2012,2762.84,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2013,2882.83,
ESTAT:NRG_CHDDR2_A(1.0),01/02/23 23:00:00,A,NR,HDD,AT111,2014,2383.65,
