"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","CZ02","Central Bohemian Region","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,43.3,,
"2","Large regions (TL2)","US32","Nevada","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,42.8,,
"2","Large regions (TL2)","TR33","Northern Aegean","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,32.3,,
"2","Large regions (TL2)","US23","Maine","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,48.1,,
"2","Large regions (TL2)","AT21","Carinthia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,46.4,,
"2","Large regions (TL2)","UKF","East Midlands","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,44.3,,
"2","Large regions (TL2)","DK04","Central Jutland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,51,,
"2","Large regions (TL2)","AT13","Vienna","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,55.1,,
"2","Large regions (TL2)","IS02","Other Regions","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,52.1,,
"2","Large regions (TL2)","US25","Massachusetts","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,52.4,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,48.7,,
"2","Large regions (TL2)","TR62","Mediterranean region - Middle","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,31.8,,
"2","Large regions (TL2)","TR62","Mediterranean region - Middle","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2014","2014",,,"0","Units",,,32.2,,
"2","Large regions (TL2)","TRB1","Eastern Anatolia - West","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2014","2014",,,"0","Units",,,32.1,,
"2","Large regions (TL2)","ES22","Navarra","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,44.1,,
"2","Large regions (TL2)","UKL","Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,42.1,,
"2","Large regions (TL2)","US30","Montana","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,47.8,,
"2","Large regions (TL2)","CA11","Prince Edward Island","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,49.7,,
"2","Large regions (TL2)","CL09","Araucanía","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,44.7,,
"2","Large regions (TL2)","JPA","Hokkaido","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,34.7,,
"2","Large regions (TL2)","UKH","East of England","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,44.1,,
"2","Large regions (TL2)","CA13","New Brunswick","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,46.4,,
"2","Large regions (TL2)","US56","Wyoming","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,54.9,,
"2","Large regions (TL2)","US15","Hawaii","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,49.2,,
"2","Large regions (TL2)","US25","Massachusetts","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,51.8,,
"2","Large regions (TL2)","ITF4","Apulia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,33.8,,
"2","Large regions (TL2)","ES61","Andalusia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,37.8,,
"2","Large regions (TL2)","AT32","Salzburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,55.2,,
"2","Large regions (TL2)","ME18","Nayarit","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,44,,
"2","Large regions (TL2)","TR41","Eastern Marmara - South ","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,37.3,,
"2","Large regions (TL2)","US37","North Carolina","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,48,,
"2","Large regions (TL2)","AT34","Vorarlberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,47.6,,
"2","Large regions (TL2)","ZA03","Gauteng","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,2.1,,
"2","Large regions (TL2)","US10","Delaware","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,48.1,,
"2","Large regions (TL2)","ITF2","Molise","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,33.7,,
"2","Large regions (TL2)","ES51","Catalonia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,46.7,,
"2","Large regions (TL2)","ES61","Andalusia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,36.6,,
"2","Large regions (TL2)","ME15","Mexico","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,41.4,,
"2","Large regions (TL2)","FI1C","Southern Finland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,44.3,,
"2","Large regions (TL2)","SE11","Stockholm","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2007","2007",,,"0","Units",,,57,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,56.2,,
"2","Large regions (TL2)","PT16","Central Portugal","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,47.3,,
"2","Large regions (TL2)","HU23","Southern Transdanubia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,30.8,,
"2","Large regions (TL2)","HU21","Central Transdanubia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,36.4,,
"2","Large regions (TL2)","CA35","Ontario","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,49.4,,
"2","Large regions (TL2)","JPI","Shikoku","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,39.2,,
"2","Large regions (TL2)","TRA2","Northeastern Anatolia - East","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2009","2009",,,"0","Units",,,26.7,,
"2","Large regions (TL2)","TRB1","Eastern Anatolia - West","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,36.9,,
"2","Large regions (TL2)","UKJ","South East England","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,48.2,,
"2","Large regions (TL2)","CA13","New Brunswick","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,46.9,,
"2","Large regions (TL2)","US04","Arizona","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,44.7,,
"2","Large regions (TL2)","TR72","Central Anatolia - East","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,31.6,,
"2","Large regions (TL2)","SE12","East Middle Sweden","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,44.8,,
"2","Large regions (TL2)","US48","Texas","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,44.6,,
