"REG_ID","Regions","IND","Indicator","MEAS","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.337,,
"AU1","New South Wales","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.348,,
"AU2","Victoria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.319,,
"AU3","Queensland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.332,,
"AU4","South Australia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.299,,
"AU5","Western Australia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.373,,
"AU6","Tasmania","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.291,,
"AU7","Northern Territory (NT)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.273,,
"AU8","Australian Capital Territory (ACT)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.278,,
"AUT","Austria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.279,,
"AT11","Burgenland (AT)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.229,,
"AT12","Lower Austria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.259,,
"AT13","Vienna","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.337,,
"AT21","Carinthia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.268,,
"AT22","Styria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.259,,
"AT31","Upper Austria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.244,,
"AT32","Salzburg","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.295,,
"AT33","Tyrol","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.283,,
"AT34","Vorarlberg","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.276,,
"BEL","Belgium","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.268,,
"BE1","Brussels Capital Region","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.358,,
"BE2","Flemish Region","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.248,,
"BE3","Wallonia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.261,,
"CAN","Canada","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.322,,
"CA10","Newfoundland and Labrador","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.306,,
"CA11","Prince Edward Island","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.287,,
"CA12","Nova Scotia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.303,,
"CA13","New Brunswick","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.285,,
"CA24","Quebec","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.29,,
"CA35","Ontario","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.331,,
"CA46","Manitoba","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.298,,
"CA47","Saskatchewan","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.308,,
"CA48","Alberta","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.32,,
"CA59","British Columbia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.323,,
"CHL","Chile","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.465,,
"CL01","Tarapacá","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.43,,
"CL02","Antofagasta","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.428,,
