DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2008,5000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2009,5300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2010,6000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2011,6100,b
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2012,6300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2013,6200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2014,6400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2015,6800,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2016,6900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2017,7200,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2018,7400,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL01,2019,7700,p
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2008,8600,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2009,8900,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2010,9300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2011,9300,b
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2012,9300,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2013,9000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2014,9500,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2015,10100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2016,10000,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2017,10700,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2018,11100,
ESTAT:NAMA_10R_3GDP(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,AL02,2019,11400,p
