DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,1999,39.9,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2000,36.2,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2001,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2002,25.4,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2003,27.8,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2004,27.2,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2005,28.2,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2006,28.1,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2007,33.0,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2008,36.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2009,34.0,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2010,27.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2011,29.2,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2012,28.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2013,26.2,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2014,28.2,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2015,25.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2016,27.4,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2017,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2018,27.3,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2019,24.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2020,25.0,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT11,2021,30.2,bu
